,name,gender,frequency
308,PAUL,M,5.1083775147310636e-05
309,XAVIER,M,5.1060877892650254e-05
310,JONATAN,M,5.1060877892650254e-05
347,OLA,F,5.094639161934834e-05
311,LEV,M,5.085480260070682e-05
312,ALFONS,M,5.0809008091386055e-05
313,ALEXANDR,M,5.078611083672567e-05
348,VALENTINA,F,5.07632135820653e-05
314,VLADISLAV,M,5.0580035544782246e-05
315,EDWIN,M,5.028237123419729e-05
316,NIKOLAS,M,5.0053398687593475e-05
317,KASPER,M,4.991601515963119e-05
318,YAN,M,4.9824426140989665e-05
319,OREST,M,4.9641248103706614e-05
320,SERGHEI,M,4.9549659085065085e-05
